word|definition|part of speech|example
parochial|narrowly restricted in scope or outlook.|adjective|"Jasmine was sad to admit it, but her fledgling relationship with Jacob did not work out because his culinary tastes were simply too parochial; ""After all,"" she quipped on her blog, ""he considered Chef Boyardee ethnic food.""."
parsimonious|extremely frugal; miserly.|adjective|Katie is so parsimonious that she only buys a pair of socks if all of her other socks have holes in them.
pedantic|marked by a narrow focus on or display of learning especially its trivial aspects Professor Thompson was regarded as an expert in his field, but his lectures were utterly pedantic, focused on rigorous details of the most trivial conventions in the field.|adjective|pedantic - No example found
pedestrian|lacking imagination.|adjective|While Nan was always engaged in philosophical speculation, her brother was occupied with far more pedestrian concerns: how to earn a salary and run a household. This word has other definitions but this is the most important one for the GRE.
pejorative|expressing disapproval (usu.|adjective|"refers to a term). Most psychologists object to the pejorative term ""shrink"", believing that they expand the human mind, not limit it. This word has other definitions but this is the most important one for the GRE."
perfidy|an act of deliberate betrayal; a breach of a trust.|noun|The lowest circles in Dante's Inferno were for those who had practiced perfidy, and among these, the very lowest was for those, such as Judas, who had been treacherous to one of their benefactors.
pernicious|exceedingly harmful; working or spreading in a hidden and injurious way The most successful viruses are pernicious: an infected person may feel perfectly healthy for several months while incubating and spreading the virus.|adjective|pernicious - No example found
petulant|easily irritated or annoyed.|adjective|When Ed first met Ruth, he didn't realize she was so petulant, but now that they are three months into their relationship, Ed feels a day doesn't go by in which she isn't whining about some minor issue.
placate|cause to be more favorably inclined; gain the good will of.|verb|I was able to placate the angry mob of students by promising to bring cookies on Monday.
platitude|a trite or obvious remark.|noun|The professor argued that many statements regarded as wise in previous times, such as the Golden Rule, are now regarded as mere platitudes.
poignant|emotionally touching.|adjective|After the Montagues and Capulets discover the dead bodies of Romeo and Juliet, in the play's most poignant moment, the two griefstricken familes agree to end their feud once and for all. This word has other definitions but this is the most important one for the GRE.
polemic|a strong verbal or written attack on someone or something.|noun|The professor launched into a polemic, claiming that Freudian theory was a pack of lies that absolutely destroyed European literary theory. This word has other definitions but this is the most important one for the GRE.
posit|assume as fact.|verb|Initially, Einstein posited a repulsive force to balance Gravity, but then rejected that idea as a blunder.
pragmatic|guided by practical experience and observation rather than theory.|adjective|Rather than make a philosophical appeal to the Congressmen, the Speaker decided to take a far more pragmatic approach, making small side-deals that would add votes to his bill.
precipitous|done with very great haste and without due deliberation.|adjective|"He was expecting a precipitous rise in the value of a ""hot"" tech stock, so he was disappointed when it only inched up a dollar or two each day."
preclude|keep from happening or arising; make impossible.|verb|The manager specified that all other gates be locked, to preclude the possibility of persons without tickets entering the arena undetected.
precocious|characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude).|adjective|Though only seven years old, she was a precocious chess prodigy, able to beat players twice her age.
predilection|a strong liking.|noun|Monte had a predilection for the fine things in life: Cuban cigars, 200 dollar bottles of wine, and trips to the French Riviera.
prescience|the power to foresee the future.|noun|Baxter's warnings about investing in technology stocks seemed like an act of prescience after the whole market declined significantly.
prevaricate|to speak in an evasive way.|verb|"The cynic quipped, ""There is not much variance in politicians; they all seem to prevaricate""."
prodigal|rashly or wastefully extravagant.|adjective|Successful professional athletes who do not fall prey to prodigality seem to be the exception--most live decadent lives.
prodigious|so great in size or force or extent as to elicit awe.|adjective|"After the relatively small homerun totals in the ""dead ball"" era, Babe Ruth's homerun totals were truly prodigious: every year, he set a new all-time record."
profligate|spending money recklessly or wastefully.|adjective|profligate - No example found
profligate|someone who spends money recklessly or wastefully.|noun|Most lottery winners go from being conservative, frugal types to outright profligates who blow millions on fast cars, lavish homes, and giant yachts.
prolific|intellectually productive.|adjective|Schubert was the most prolific composer, producing hundreds of hours of music before he died at the age of 31.
propitious|presenting favorable circumstances; likely to result in or show signs of success The child's heartbeat is still weak, but I am seeing many propitious signs and I think that she may be healing.|adjective|propitious - No example found
provincial|characteristic of the a limited perspective; not fashionable or sophisticated Maggie's enthusiasm about her high school teams seemed provincial to her college classmates, all of whom were following a nationally ranked college team.|adjective|provincial - No example found
pundit|someone who has been admitted to membership in a scholarly field.|noun|Steven Pinker's credentials are unquestioned as a pundit; he has taught at MIT and Stanford, teaches at Harvard, and has published a number of influential books on cognition, language, and psychology.
qualify|to be legally competent or capable.|adjective|If James had made more than $50,000 last year, then he wouldn't have qualified for the low-income scholarship.
qualify|to make less severe; to limit (a statement).|verb|Chris qualified his love for San Francisco, adding that he didn't like the weather as much as the weather in Los Angeles.
querulous|habitually complaining.|adjective|The querulous old woman was begining to wear down even the happier members of the staff with her ceaseless complaining.
quotidian|found in the ordinary course of events.|adjective|Phil gets so involved thinking about Aristotle's arguments that he totally forgets quotidian concerns, such as exercising and eating regularly.
ravenous|extremely hungry; devouring or craving food in great quantities.|adjective|John didn't each much at all during the week he had the flu, so now that he is regaining his health, it's not surpring that he has a ravenous appetite.
rebuke|criticize severely or angrily; censure.|verb|The police chief rebuked the two officers whose irresponsible decisions almost led to the deaths of seven innocent by-standers.
reconcile|make (one thing) compatible with (another).|verb|Peggy was unable to reconcile her kind friend Jane with the cruel and merciless character Jane played on television.
recondite|difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge.|adjective|I found Ulysses recondite and never finished the book, waiting instead to read it with someone else so we could penetrate its meaning together.
refractory|stubbornly resistant to authority or control.|adjective|Used to studious high school students, Martha was unprepared for the refractory Kindgergarteners who neither sat still nor listened to a single word she said. This word has other definitions but this is the most important one for the GRE.
refute|prove to be false or incorrect.|verb|No one could refute his theories or propositions, and that is why he was esteemed by all his colleagues in the philosophy department.
reproach|to express criticism towards.|verb|At first, Sarah was going to yell at the boy, but she didn't want to reproach him for telling the truth about the situation.
repudiate|reject as untrue or unfounded.|verb|Many in the public believed the rumors of a UFO crash outside town, so the chief of police did everything he could to repudiate the rumors.
rescind|cancel officially.|verb|The man's driver's license was rescinded after his tenth car accident, which meant he would never be allowed to legally drive again.
restive|restless.|adjective|The crowd grew restive as the comedian's opening jokes fell flat.
resurgent|rising again as to new life and vigor.|adjective|The team sank to fourth place in June, but is now resurgent and about to win the division.
reticent|reluctant to draw attention to yourself; temperamentally disinclined to talk When asked about her father, Helen lost her outward enthusiasm and became rather reticent.|adjective|reticent - No example found
reverent|feeling or showing profound respect or veneration.|adjective|The professor could speak objectively about the other composers, but he always lectured about Brahms with a particularly reverent air, unable to offer a single criticism of his compositions.
rudimentary|being in the earliest stages of development; being or involving basic facts or principles.|adjective|I would love to be able to present a fully polished proposal to the board, but right now, our plans for the product are still in the most rudimentary stages.
rustic|characteristic of rural life; awkwardly simple and provincial.|adjective|The vacation cabin had no electricity and no indoor plumbing, but despite these inconveniences, Nigel adored its rustic charm.
sanction|give authority or permission to.|verb|The authorities have sanctioned the use of the wilderness reserve for public use; many expect to see. hikers an campers enjoying the park in the coming months.
sanction|a legal penalty for a forbidden action.|noun|International sanctions have been placed on certain shipping lanes that were thought to be involved in human trafficking.
scrupulous|characterized by extreme care and great effort.|adjective|Because of his scrupulous nature, Mary put him in charge of numbering and cataloging the entire collection of rare stamps.
scrupulous|having a sense of right and wrong; principled.|adjective|Everyone trusted what he said and followed his example because he was scrupulous and honest.
soporific|inducing mental lethargy; sleep inducing.|adjective|Although the professor is brilliant, his bland monotone gives his lectures a soporific effect.
specious|based on pretense; deceptively pleasing Almost every image on TV is specious and not to be trusted.|adjective|specious - No example found
specious|plausible but false.|adjective|He made a career out of specious arguments and fictional lab results, but lost his job and reputation when his lies were exposed by an article in The New York Times.
sporadic|recurring in scattered and irregular or unpredictable instances.|adjective|The signals were at first sporadic, but now we detect a clear, consistent pattern of electromagnetic radiation eminating from deep space.
spurious|plausible but false.|adjective|When listening to a politician speak, it is hard to distinguish the spurious claims from the authentic ones.
staunch|firm and dependable especially in loyalty.|adjective|No longer a staunch supporter of the movement, Todd now will openly question whether its goals are worthwhile.
stringent|demanding strict attention to rules and procedures.|adjective|Most of the students disliked the teacher because of his stringent homework policy, but many students would later thank him for demanding so much from them.
subsume|contain or include.|verb|The rogue wave quickly subsumed the pier and boardwalk, destroying everything in its path.
subsume|consider (an instance of something) as part of a general rule or principle.|verb|Don Quixote of La Mancha subsumes all other modern novels, demonstrating modern literary devices. and predating even the idea of a postmodern, metanarrative.
subversive|in opposition to a civil authority or government.|adjective|"The ruling political party has begun a campaign to shut down subversive websites that it deems as a threat to ""national safety.""."
sullen|showing a brooding ill humor.|adjective|Herbert took board games too seriously, often appearing sullen after losing.
superfluous|serving no useful purpose.|adjective|How can we hope to stay open if we don't eliminate all superfluous spending, like catered meetings and free acupucture Tuesday?.
superfluous|more than is needed, desired, or required Everything in this closet is superfluous and can be given to charity.|adjective|superfluous - No example found
supplant|take the place or move into the position of.|verb|For many, a cell phone has supplanted a traditional phone; in fact, most 20-somethings don't even have a traditional phone anymore.
sycophant|a person who tries to please someone in order to gain a personal advantage The CEO was unaware of the damaging consequences of his choices, largely because he surrounded himself with sycophants who would never dare criticize him.|noun|sycophant - No example found
taciturn|habitually reserved and uncommunicative.|adjective|While the CEO enthusiastically shares his plans and agenda with all who will listen, the CFO is far more taciturn, rarely revealing his perspective.
tantamount|being essentially equal to something.|adjective|In many situations, remaining silent is tantamount to admitting guilt, so speak to prove your innocence.
temperance|the trait of avoiding excesses.|noun|Welles wasn't known for his temperance--he usually ate enough for two and drank enough for three.
tempered|moderated in effect.|adjective|The wide-eyed optimism of her youth was now tempered after she had worked many years in the criminal justice system.
tenacious|stubbornly unyielding.|adjective|Even the most tenacious advocates for gun ownership must admit some of the dangers that firearms present.
timorous|timid by nature or revealing fear and nervousness.|adjective|Since this was her first time debating on stage and before an audience, Di's voice was timorous and quiet for the first 10 minutes.
torpor|inactivity resulting from lethargy and lack of vigor or energy.|noun|After work, I was expecting my colleagues to be enthusiastic about the outing, but I found them in a state of complete torpor.
tortuous|marked by repeated turns and bends; not straightforward.|adjective|Because the logic behind McMahon's side of the debate was so tortuous, his audience came out either completely confused or, worse, feeling they'd been tricked.
tractable|readily reacting to suggestions and influences; easily managed (controlled or taught or molded).|adjective|Compared to middle school students, who have an untamed wildness about them, high school students are somewhat more tractable.
transient|lasting a very short time.|adjective|The unpredictable and transient nature of deja vu makes it a very difficult phenomenon to study properly.
travesty|an absurd presentation of something; a mockery.|noun|What I expected to be an intelligent, nuanced historical documentary turned out to be a poorly-produced travesty of the form.
treacherous|tending to betray.|adjective|Even though Jesse James was an outlaw, his killer, Robert Ford, is remembered more for his treacherous actions than for eliminating a criminal and murder.
treacherous|dangerously unstable and unpredictable.|adjective|The bridge built from twine and vine is treacherous to walk across, and so I think I will stay put right here.
trite|repeated too often; overfamiliar through overuse.|adjective|Many style guides recommend not using idioms in writing because these trite expressions are uninteresting and show a lack of imagination on the part of the writer.
truncate|reduce the length of something.|verb|The soccer game was truncated when the monsoon rain began to fall.
undermine|to weaken (usually paired with an abstract term).|adjective|The student undermined the teacher's authority by questioning the teacher's judgment on numerous occasions.
underscore|give extra weight to (a communication).|verb|While the hiking instructor agreed that carrying a first aid kit could be a good idea under certain circumstances, he underscored the importance of carrying enough water.
unequivocal|admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion.|adjective|The President's first statement on the subject was vague and open to competing interpretations, so when he spoke to Congress about the same subject later, he was cafeful to make his position completely unequivocal.
unscrupulous|without scruples or principles.|adjective|In the courtroom, the lawyer was unscrupulous, using every manner of deceit and manipulation to secure a victory for himself.
upbraid|to reproach; to scold.|verb|"Bob took a risk walking into the ""Students Barbershop""--in the end he had to upbraid the apparently drunk barber for giving him an uneven bowl cut."
vacillate|be undecided about something; waver between conflicting positions or courses of action.|verb|Some students vacillate between schools when deciding which to attend, while others focus only on one school. This word has other definitions but this is the most important one for the GRE.
vehement|marked by extreme intensity of emotions or convictions.|adjective|While the other employees responded to the bad news in a measured way, Andrew responded in a vehement manner, tipping over his desk and shouting at the top of his lungs.
venality|the condition of being susceptible to bribes or corruption.|noun|Even some of the most sacrosanct sporting events are not immune to venality, as many of the officials have received substantial bribes to make biased calls.
venerate|to respect deeply.|verb|The professor, despite his soporific lectures, was venerated amongst his colleagues, publishing more papers yearly than all of his peers combined.
veracious|truthful.|adjective|While we elect our leaders in the hope that every word they speak will be veracious, history has shown that such a hope is naive.
vilify|spread negative information about.|verb|Todd was noble after the divorce, choosing to say only complimentary things about Barbara, but Barbara did not hesitate to vilify Todd.
vindicate|to clear of accusation, blame, suspicion, or doubt with supporting arguments or proof Even seven Tour de France wins cannot vindicate Lance Armstrong in the eyes of the public--that the athlete used performance enhancing drugs invalidates all those wins.|verb|vindicate - No example found
vociferous|conspicuously and offensively loud; given to vehement outcry.|adjective|In giving Marcia a particular vociferous response, Paul caused people at every other table in the restaurant to turn around an look at them angrily.
volubility|the quality of talking or writing easily and continuously.|noun|The professor's volubility knows no bounds; he could talk through a hurricane and elaborate a point from one St. Patrick's Day to the next.
wanting|lacking.|adjective|She did not think her vocabulary was wanting, yet there were so many words that inevitably she found a few she didn't know.
winsome|charming in a childlike or naive way.|adjective|She was winsome by nature, and many people were drawn to this free and playful spirit. Basic Words.
